,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
308,05/28/21,625.22,22737040,-5.63,-0.89,-0.89,625.22,384.42,628.50,635.59,622.38,384.42,2021-05-28,2021.4054794520548,-0.89
309,06/01/21,623.90,18084890,-1.32,-0.21,-0.21,623.90,383.4,627.80,633.80,620.55,383.4,2021-06-01,2021.4136986301369,-0.21
310,06/02/21,605.12,23302780,-18.78,-3.01,-3.01,605.12,368.85,620.13,623.36,599.14,368.85,2021-06-02,2021.4164383561645,-3.01
311,06/03/21,572.84,30111890,-32.28,-5.33,-5.33,572.84,343.83,601.80,604.55,571.22,343.83,2021-06-03,2021.4191780821918,-5.33
312,06/04/21,599.05,24036900,26.21,4.58,4.58,599.05,364.14,579.71,600.61,577.20,364.14,2021-06-04,2021.4219178082192,4.58
313,06/07/21,605.13,22543680,6.08,1.01,1.01,605.13,368.85,591.83,610.00,582.88,368.85,2021-06-07,2021.4301369863015,1.01
314,06/08/21,603.59,26053410,-1.54,-0.25,-0.25,603.59,367.66,623.01,623.09,595.50,367.66,2021-06-08,2021.4328767123288,-0.25
315,06/09/21,598.78,16584570,-4.81,-0.8,-0.8,598.78,363.93,602.17,611.79,597.63,363.93,2021-06-09,2021.4356164383562,-0.8
316,06/10/21,610.12,23919610,11.34,1.89,1.89,610.12,372.72,603.88,616.59,600.50,372.72,2021-06-10,2021.4383561643835,1.89
317,06/11/21,609.89,16205300,-0.23,-0.04,-0.04,609.89,372.54,610.23,612.56,601.52,372.54,2021-06-11,2021.441095890411,-0.04
318,06/14/21,617.69,20423980,7.8,1.28,1.28,617.69,378.58,612.23,625.49,609.18,378.58,2021-06-14,2021.4493150684932,1.28
319,06/15/21,599.36,17764150,-18.33,-2.97,-2.97,599.36,364.38,616.69,616.79,598.23,364.38,2021-06-15,2021.4520547945206,-2.97
320,06/16/21,604.87,22144130,5.51,0.92,0.92,604.87,368.65,597.54,608.50,593.50,368.65,2021-06-16,2021.454794520548,0.92
321,06/17/21,616.60,22701350,11.73,1.94,1.94,616.60,377.74,601.89,621.47,601.34,377.74,2021-06-17,2021.4575342465753,1.94
322,06/18/21,623.31,24560910,6.71,1.09,1.09,623.31,382.94,613.37,628.35,611.80,382.94,2021-06-18,2021.4602739726026,1.09
323,06/21/21,620.83,24812740,-2.48,-0.4,-0.4,620.83,381.02,624.48,631.39,608.88,381.02,2021-06-21,2021.468493150685,-0.4
324,06/22/21,623.71,19158890,2.88,0.46,0.46,623.71,383.25,618.25,628.57,615.50,383.25,2021-06-22,2021.4712328767123,0.46
325,06/23/21,656.57,31099230,32.86,5.27,5.27,656.57,408.71,632.00,657.20,630.04,408.71,2021-06-23,2021.4739726027397,5.27
326,06/24/21,679.82,45982390,23.25,3.54,3.54,679.82,426.72,674.99,697.62,667.61,426.72,2021-06-24,2021.4767123287672,3.54
327,06/25/21,671.87,32496710,-7.95,-1.17,-1.17,671.87,420.56,689.58,693.81,668.70,420.56,2021-06-25,2021.4794520547946,-1.17
328,06/28/21,688.72,21628160,16.85,2.51,2.51,688.72,433.62,671.64,694.70,670.32,433.62,2021-06-28,2021.4876712328767,2.51
329,06/29/21,680.76,17381310,-7.96,-1.16,-1.16,680.76,427.45,684.65,687.51,675.89,427.45,2021-06-29,2021.490410958904,-1.16
330,06/30/21,679.70,18924860,-1.06,-0.16,-0.16,679.70,426.63,679.77,692.81,678.14,426.63,2021-06-30,2021.4931506849316,-0.16
331,07/01/21,677.92,18634520,-1.78,-0.26,-0.26,677.92,425.25,683.92,687.99,672.80,425.25,2021-07-01,2021.495890410959,-0.26
332,07/02/21,678.90,27097370,0.98,0.14,0.14,678.90,426.01,678.98,700.00,673.26,426.01,2021-07-02,2021.4986301369863,0.14
333,07/06/21,659.58,23284450,-19.32,-2.85,-2.85,659.58,411.04,681.71,684.00,651.40,411.04,2021-07-06,2021.509589041096,-2.85
334,07/07/21,644.65,18791960,-14.93,-2.26,-2.26,644.65,399.47,664.27,665.70,638.32,399.47,2021-07-07,2021.5123287671233,-2.26
335,07/08/21,652.81,22773320,8.16,1.27,1.27,652.81,405.8,628.37,654.43,620.46,405.8,2021-07-08,2021.5150684931507,1.27
336,07/09/21,656.95,18140550,4.14,0.63,0.63,656.95,409.0,653.19,658.91,644.69,409.0,2021-07-09,2021.517808219178,0.63
337,07/12/21,685.70,25927040,28.75,4.38,4.38,685.70,431.28,662.20,687.24,662.16,431.28,2021-07-12,2021.5260273972603,4.38
338,07/13/21,668.54,20966090,-17.16,-2.5,-2.5,668.54,417.98,686.32,693.28,666.30,417.98,2021-07-13,2021.5287671232877,-2.5
339,07/14/21,653.38,21641190,-15.16,-2.27,-2.27,653.38,406.24,670.75,678.61,652.84,406.24,2021-07-14,2021.531506849315,-2.27
340,07/15/21,650.60,20209570,-2.78,-0.43,-0.43,650.60,404.08,658.39,666.14,637.88,404.08,2021-07-15,2021.5342465753424,-0.43
341,07/16/21,644.22,16370970,-6.38,-0.98,-0.98,644.22,399.14,654.68,656.70,642.20,399.14,2021-07-16,2021.5369863013698,-0.98
342,07/19/21,646.22,21297090,2.0,0.31,0.31,646.22,400.69,629.89,647.20,621.29,400.69,2021-07-19,2021.545205479452,0.31
343,07/20/21,660.50,15487130,14.28,2.21,2.21,660.50,411.75,651.99,662.39,640.50,411.75,2021-07-20,2021.5479452054794,2.21
344,07/21/21,655.29,13953340,-5.21,-0.79,-0.79,655.29,407.72,659.61,664.86,650.29,407.72,2021-07-21,2021.5506849315068,-0.79
345,07/22/21,649.26,15105730,-6.03,-0.92,-0.92,649.26,403.04,656.44,662.17,644.60,403.04,2021-07-22,2021.5534246575342,-0.92
346,07/23/21,643.38,14604940,-5.88,-0.91,-0.91,643.38,398.49,646.36,648.80,637.30,398.49,2021-07-23,2021.5561643835617,-0.91
347,07/26/21,657.62,25336560,14.24,2.21,2.21,657.62,409.52,650.97,668.20,647.11,409.52,2021-07-26,2021.5643835616438,2.21
348,07/27/21,644.78,32813290,-12.84,-1.95,-1.95,644.78,399.57,663.40,666.50,627.24,399.57,2021-07-27,2021.5671232876712,-1.95
349,07/28/21,646.98,16006600,2.2,0.34,0.34,646.98,401.28,647.00,654.97,639.40,401.28,2021-07-28,2021.5698630136985,0.34
350,07/29/21,677.35,30394640,30.37,4.69,4.69,677.35,424.81,649.79,683.69,648.80,424.81,2021-07-29,2021.572602739726,4.69
351,07/30/21,687.20,29656410,9.85,1.45,1.45,687.20,432.44,671.76,697.53,669.00,432.44,2021-07-30,2021.5753424657535,1.45
352,08/02/21,709.67,33615770,22.47,3.27,3.27,709.67,449.85,700.00,726.94,698.40,449.85,2021-08-02,2021.5808219178082,3.27
353,08/03/21,709.74,21620250,0.07,0.01,0.01,709.74,449.9,719.00,722.65,701.01,449.9,2021-08-03,2021.5835616438355,0.01
354,08/04/21,710.92,17002650,1.18,0.17,0.17,710.92,450.82,711.00,724.90,708.93,450.82,2021-08-04,2021.5863013698631,0.17
355,08/05/21,714.63,12919640,3.71,0.52,0.52,714.63,453.69,716.00,720.95,711.41,453.69,2021-08-05,2021.5890410958905,0.52
356,08/06/21,699.10,15623050,-15.53,-2.17,-2.17,699.10,441.66,711.90,716.33,697.63,441.66,2021-08-06,2021.5917808219178,-2.17
357,08/09/21,713.76,14715350,14.66,2.1,2.1,713.76,453.02,710.17,719.03,705.13,453.02,2021-08-09,2021.6,2.1
358,08/10/21,709.99,13432310,-3.77,-0.53,-0.53,709.99,450.1,713.99,716.59,701.88,450.1,2021-08-10,2021.6027397260275,-0.53
359,08/11/21,707.82,9800558,-2.17,-0.31,-0.31,707.82,448.42,712.71,715.18,704.21,448.42,2021-08-11,2021.6054794520549,-0.31
