,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id,price
111,FT Cboe Vest US Equity Deep Buffer ETF - October,DOCT,1667919,33740F672,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,ceeb359a3ffc3f7b23158ecc9dba3818,31.875
112,Aptus Defined Risk ETF,DRSK,1540305,26922A388,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,b08fb002272bb475162064d54d1db1c5,28.07
113,FT Cboe Vest US Equity Deep Buffer ETF - September,DSEP,1667919,33740F680,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,a56ad0f1a78ae2e5b2aa9cef0bbeb9b7,31.8813
114,Innovator Double Stacker ETF - January,DSJA,1415726,45782C177,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,da4e3afe5abc61e62ae92017fc45470b,26.94
115,Innovator Double Stacker ETF - October,DSOC,1415726,45782C185,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,16519a2c73c2370ff51b1ae424f54170,30.6449
120,MerlynAI SectorSurfer Momentum ETF,DUDE,1592900,02072L862,BATS,False,ETF,,,,,,,,USD,Pennsylvania; U.S.A,416bf84174be9e43ec4b993d7c7a85c3,27.94
121,VanEck Morningstar Durable Dividend ETF,DURA,1137360,92189H102,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,bde7ce0009ae31df50d22f22123320e3,31.33
122,Davis Select US Equity ETF,DUSA,1670310,23908L207,BATS,False,ETF,,,,,,,,USD,Arizona; U.S.A,b044d1ef8538b64ce37678dd52374232,31.51
123,Source Dividend Opportunity ETF,DVOP,1683471,53656F839,BATS,True,ETF,,,,,,,,USD,Wisconsin; U.S.A,089983fa1d47bb1348e1affe2ad7ce82,18.975
124,Davis Select Worldwide ETF,DWLD,1670310,23908L306,BATS,False,ETF,,,,,,,,USD,Arizona; U.S.A,48b52b2233103afbd9e7d63c279e4cad,26.17
127,iShares ESG Aware Aggressive Allocation ETF,EAOA,1100663,46436E668,BATS,False,ETF,,,,,,,,USD,California; U.S.A,a17473e3aa6b41002f4e39014fc461e0,31.205
128,iShares ESG Aware Conservative Allocation ETF,EAOK,1100663,46436E692,BATS,False,ETF,,,,,,,,USD,California; U.S.A,7890cdfda9d338a6626fc68eb23a00f6,26.1608
129,iShares ESG Aware Moderate Allocation ETF,EAOM,1100663,46436E684,BATS,False,ETF,,,,,,,,USD,California; U.S.A,50b584ea3d94395a212a6d015432e5f6,27.1391
130,iShares ESG Aware Growth Allocation ETF,EAOR,1100663,46436E676,BATS,False,ETF,,,,,,,,USD,California; U.S.A,98ff05ca4710850377427f4f60e10be0,29.1028
131,iShares MSCI Chile ETF,ECH,930667,464286640,BATS,False,ETF,,,,,,,,USD,California; U.S.A,7b3188fcf83ff2604ae835233b537a38,26.86
132,iShares MSCI Denmark ETF,EDEN,1100663,46429B523,BATS,False,ETF,,,,,,,,USD,California; U.S.A,72a102899f5d7f786ec856509f35e34d,95.81
134,iShares MSCI Emerging Markets Min Vol Factor ETF,EEMV,930667,464286533,BATS,False,ETF,,,,,,,,USD,California; U.S.A,461344b88d99797a59f9f10f563e6853,60.51
135,ProShares MSCI EAFE Dividend Growers ETF,EFAD,1174610,74347B839,BATS,False,ETF,,,,,,,,USD,Maryland; U.S.A,b321719ca1e4f699b64c1e985992bba2,39.13
136,iShares MSCI EAFE Min Vol Factor ETF,EFAV,1100663,46429B689,BATS,False,ETF,,,,,,,,USD,California; U.S.A,2273bc9027fac8eece9fe5923d382ae9,69.76
137,iShares MSCI EAFE Growth ETF,EFG,1100663,464288885,BATS,False,ETF,,,,,,,,USD,California; U.S.A,6cfc70b9eac35ec2160655b18af287aa,91.81
138,iShares MSCI Finland ETF,EFNL,1100663,46429B515,BATS,False,ETF,,,,,,,,USD,California; U.S.A,7c2a7f29d0f4fd8b036c72c6d88ed5a4,38.38
